tipo_ente;cod_ibge;tipo_receita;ano;DCA;RREO;SIOPS;SIOPE;DCA2
Município;1100080;ISS;2022;1056283,0;;1056283,0;1056283,0;1056283,0
Município;1100080;ISS;2023;1111319,83;;1111319,83;1111319,83;1111319,83
Município;1100080;ISS;2024;1170569,29;;1170569,29;1170569,29;1170569,29
Município;1100080;ISS;2025;;;1549290,29;1549290,29;1549290,29
Município;1100098;Cota-Parte ICMS;2019;16844638,16;;;16844638,16;16844638,16
Município;1100098;Cota-Parte ICMS;2020;18119006,54;;18119006,54;18119006,54;18119006,54
Município;1100098;Cota-Parte ICMS;2021;22356212,36;;22356212,36;22356212,36;22356212,36
Município;1100098;Cota-Parte ICMS;2022;24216739,59;;24216739,59;24216739,59;24216739,59
Município;1100098;Cota-Parte ICMS;2023;24843027,85;;24843027,85;24843027,85;24843027,85
Município;1100098;Cota-Parte ICMS;2024;29043046,51;;29043046,51;29043046,51;29043046,51
Município;1100098;Cota-Parte ICMS;2025;;;33594789,99;33594789,99;33594789,99
Município;1100098;ISS;2019;2030731,21;;;2030731,21;2030731,21
Município;1100098;ISS;2020;1942166,37;;1942166,37;1942166,37;1942166,37
Município;1100098;ISS;2021;3157779,28;;3157779,28;3157779,28;3157779,28
Município;1100098;ISS;2022;5179777,74;;5179777,74;5179777,74;5179777,74
Município;1100098;ISS;2023;4627533,08;;4627533,08;4627533,08;4627533,08
Município;1100098;ISS;2024;4514474,53;;4514474,53;4514474,53;4514474,53
Município;1100098;ISS;2025;;;5140602,49;5140602,49;5140602,49
Município;1100098;LC194;2023;;;;;718442,83
Município;1100106;Cota-Parte ICMS;2019;24116701,63;24116701,63;;24116701,63;24116701,63
Município;1100106;Cota-Parte ICMS;2020;27027932,44;27027932,44;27027932,44;27027932,44;27027932,44
Município;1100106;Cota-Parte ICMS;2021;36741151,8;36741151,8;36741151,8;36741151,8;36741151,8
